2026-04-12 22:48:08.150 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:48:08.353 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:48:08.622 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:49:00.840 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:49:00.902 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:49:01.058 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:49:01.096 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:49:01.152 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:49:01.350 | INFO     | __main__:main:146 - 位置误差统计（相对真值，平面 ‖Δp‖₂，单位 m）： INS only  mean=160.421565 max=429.958702 | INS+DVL+USBL EKF mean=0.345424 max=1.258120 | INS+USBL EKF mean=3.307190 max=7.817128
2026-04-12 22:49:01.350 | INFO     | __main__:main:160 - 融合完成，开始绘图
2026-04-12 22:49:01.625 | INFO     | __main__:main:167 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:49:09.439 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:49:09.503 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:49:09.672 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:49:09.712 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:49:09.772 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:49:09.984 | INFO     | __main__:main:146 - 位置误差统计（相对真值，平面 ‖Δp‖₂，单位 m）： INS only  mean=160.421565 max=429.958702 | INS+DVL+USBL EKF mean=0.345424 max=1.258120 | INS+USBL EKF mean=3.307190 max=7.817128
2026-04-12 22:49:09.984 | INFO     | __main__:main:160 - 融合完成，开始绘图
2026-04-12 22:49:10.261 | INFO     | __main__:main:167 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:55:19.371 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:55:19.439 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:55:19.591 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:55:19.636 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:55:19.699 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:55:19.900 | INFO     | __main__:main:146 - 位置误差统计（相对真值，平面 ‖Δp‖₂，单位 m）： INS only  mean=160.421565 max=429.958702 | INS+DVL+USBL EKF mean=0.244665 max=0.899442 | INS+USBL EKF mean=2.389590 max=5.805404
2026-04-12 22:55:19.900 | INFO     | __main__:main:160 - 融合完成，开始绘图
2026-04-12 22:55:20.170 | INFO     | __main__:main:167 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:58:40.259 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:58:40.329 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:58:40.502 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:58:40.545 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:58:40.608 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:58:40.804 | INFO     | __main__:main:146 - 位置误差统计（相对真值，平面 ‖Δp‖₂，单位 m）： INS only  mean=160.421565 max=429.958702 | INS+DVL+USBL EKF mean=0.345424 max=1.258120 | INS+USBL EKF mean=3.307190 max=7.817128
2026-04-12 22:58:40.805 | INFO     | __main__:main:160 - 融合完成，开始绘图
2026-04-12 22:58:41.081 | INFO     | __main__:main:167 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 23:01:06.787 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 23:01:06.854 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 23:01:07.011 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 23:01:07.065 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 23:01:07.145 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 23:01:07.347 | INFO     | __main__:main:146 - 位置误差统计（相对真值，平面 ‖Δp‖₂，单位 m）： INS only  mean=160.421565 max=429.958702 | INS+DVL+USBL EKF mean=0.584177 max=1.988389 | INS+USBL EKF mean=4.895772 max=11.077818
2026-04-12 23:01:07.347 | INFO     | __main__:main:160 - 融合完成，开始绘图
2026-04-12 23:01:07.633 | INFO     | __main__:main:167 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 23:10:55.674 | INFO     | __main__:main:70 - 海洋扰动仿真：sim_ini=/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini marine_ini=/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/marine.ini
