timestamp[ns],ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s],lin_acc_x[m/s^2],lin_acc_y[m/s^2],lin_acc_z[m/s^2]
1652274620007476736,0.004174729809165001,-0.0007650905172340572,0.01731828786432743,0.13863249048222787,-9.813589443874358,-0.20776794036291538
1652274620010480128,0.0038372233975678682,0.0017136773094534874,0.01816578581929207,0.15780189498765393,-9.789766669738292,-0.21858077333820983
1652274620013480704,0.00484712328761816,-0.0014237613650038838,0.016879882663488388,0.17209710845230147,-9.80599416643977,-0.2039005243450403
1652274620016484352,0.004775859881192446,-0.0011066857259720564,0.01765611581504345,0.17139151746621353,-9.830276374781132,-0.19342017472712322
1652274620019485184,0.005217455327510834,-0.0005064139841124415,0.015346425585448742,0.17166509197689592,-9.834009131568669,-0.19653025130536406
1652274620022488576,0.003783398075029254,-0.000832908321171999,0.017674973234534264,0.16330270262733101,-9.81315923576355,-0.19969295311998575
1652274620025489152,0.005023470614105463,-0.002141916425898671,0.017083346843719482,0.12852517542778513,-9.803391290464997,-0.21105680757416412
1652274620028492800,0.004783222451806068,-0.0003677406348288059,0.01820145547389984,0.12080902069304138,-9.814162275326252,-0.21553013532962648
1652274620031493376,0.004583664238452911,-0.0016183862462639809,0.01735982485115528,0.13964930284195579,-9.826612591576575,-0.19723235342642292
1652274620034496768,0.008186043240129948,-0.002515972824767232,0.018057342618703842,0.14521474581621585,-9.828151053190231,-0.19221602310175076
1652274620037497344,0.0033901426941156387,-0.0007021115743555129,0.018443617969751358,0.15109956607110797,-9.815213245683909,-0.20429728684397414
1652274620040500736,0.005955944769084454,0.0008845356060191989,0.01811673678457737,0.1472384610630106,-9.82270798535347,-0.19914593196278438
1652274620043501312,0.008928959257900715,-0.0013747591292485595,0.019007036462426186,0.14862802485842258,-9.838566064220666,-0.18499544246476143
1652274620046504704,0.006427677348256111,0.0023928543087095022,0.016749879345297813,0.14952026099041105,-9.832469500911236,-0.18084661568962038
1652274620049505536,0.009432447142899036,-0.0010560848750174046,0.016930706799030304,0.13235042367121205,-9.819960732471943,-0.16478490400910376
1652274620052508928,0.008107371628284454,0.0014453380135819316,0.01767786778509617,0.11565199412289075,-9.809853179955482,-0.1636787693981081
1652274620055509504,0.006006969604641199,-0.0011028873268514872,0.017748698592185974,0.12490195256248116,-9.81355203447342,-0.16472341961283235
1652274620058512896,0.005077312234789133,0.0003980381297878921,0.016515981405973434,0.16090426318347453,-9.812533797341585,-0.14817226218124852
1652274620061513472,0.004105118103325367,0.0006632903823629022,0.01917576603591442,0.16940662725931033,-9.815484463840722,-0.13630464118970556
1652274620064523008,0.004208551719784737,0.0005921203992329538,0.01690794713795185,0.14545879283831453,-9.803280231305957,-0.13808681189874186
1652274620067529472,0.0037911455146968365,-0.0013021553168073297,0.01838165521621704,0.15243540865159594,-9.795392108404636,-0.12028328891904093
1652274620070533120,0.0011605594772845507,-0.005009600892663002,0.018197912722826004,0.12695486650429666,-9.806826525610685,-0.12987669963459483
1652274620073533952,0.00022610102314502,-0.004147027153521776,0.01915436051785946,0.09822631887909955,-9.791529003235697,-0.17709312664130702
1652274620076537344,0.0005864324048161507,-0.0009929423686116934,0.018984755501151085,0.15433991796551272,-9.796455938243865,-0.2185762250272557
1652274620079537664,0.0017604879103600979,-0.00014884179108776152,0.018922220915555954,0.14299277718411757,-9.820908826977014,-0.21878647024445236
1652274620082541312,-0.001851003966294229,0.000896122888661921,0.02013469859957695,0.1634693278985098,-9.851776258927583,-0.19900378354573622
1652274620085541888,-0.002183295553550124,6.180745549499989e-05,0.02110738679766655,0.18818150688866153,-9.840028537988662,-0.19120764977680518
1652274620088545280,0.0007050308049656451,-0.001217131270095706,0.022819699719548225,0.17169590724026784,-9.832790987950563,-0.2310765726980753
1652274620091545856,0.0010501801734790206,-0.0016893931897357106,0.022977681830525398,0.15968717901129276,-9.845002819269896,-0.26051223654616623
1652274620094549504,0.003975958097726107,0.0001756618730723858,0.02008769102394581,0.13821206397991626,-9.859161108481883,-0.2468177654536441
1652274620097550336,0.004734153393656015,0.0006837662076577544,0.021364402025938034,0.1308669801804237,-9.831344880795479,-0.1987054216536693
1652274620100553728,0.006896201055496931,-0.0013203874696046114,0.01896274834871292,0.13481287739514372,-9.812904384219646,-0.17149799178168176
1652274620103554304,0.006099854130297899,-0.0038116283249109983,0.016946708783507347,0.12606972683337517,-9.817142167919874,-0.15581347938310355
1652274620106557952,0.004933000076562166,-0.0017965288134291768,0.018133532255887985,0.08304888835297897,-9.825143103545903,-0.14808811842859723
1652274620109558784,0.0028686709702014923,-0.0036551118828356266,0.015603694133460522,0.10986261533279902,-9.818707517540455,-0.16477911358913405
1652274620112562176,0.004124773200601339,-0.002691985107958317,0.014520883560180664,0.16586075307969003,-9.805898304849862,-0.16580520523386075
1652274620115562752,0.002922411309555173,-0.001976120052859187,0.013566757552325726,0.14615817327932454,-9.81539561651349,-0.1476166010598652
1652274620118566144,0.0037064040079712868,-0.0013374404516071081,0.014724485576152802,0.1349867087252438,-9.813472539496422,-0.16570788233922792
