timestamp[ns],pos_z[m]
1652274612936412160,-1.5771187543869019
1652274612955454976,-1.5771187543869019
1652274612991518976,-1.5775833129882812
1652274613023091968,-1.5780097246170044
1652274613056910080,-1.579045295715332
1652274613087820032,-1.579045295715332
1652274613125310976,-1.5795869827270508
1652274613173000192,-1.5807855129241943
1652274613189799936,-1.5807855129241943
1652274613223557888,-1.58184015750885
1652274613256293120,-1.5822714567184448
1652274613290244096,-1.5827622413635254
1652274613324194048,-1.583251714706421
1652274613357417216,-1.5836776494979858
1652274613391400960,-1.5841330289840698
1652274613436875008,-1.5846349000930786
1652274613458996992,-1.5849716663360596
1652274613495294976,-1.5853912830352783
1652274613533832192,-1.5857999324798584
1652274613557288960,-1.5861473083496094
1652274613588557056,-1.5864254236221313
1652274613622739200,-1.5867092609405518
1652274613672118016,-1.5869238376617432
1652274613688828928,-1.5869464874267578
1652274613722809088,-1.5870952606201172
1652274613756505088,-1.5870858430862427
1652274613788978944,-1.5871148109436035
1652274613822814976,-1.5871797800064087
1652274613860017152,-1.587118148803711
1652274613909857024,-1.5870825052261353
1652274613922764032,-1.5871578454971313
1652274613956544000,-1.586903691291809
1652274613988715008,-1.5868721008300781
1652274614022929920,-1.5867247581481934
1652274614056556032,-1.5864143371582031
1652274614089807104,-1.5863075256347656
1652274614122720000,-1.5860157012939453
1652274614174217984,-1.5855180025100708
1652274614188635136,-1.5855679512023926
1652274614222883840,-1.5852364301681519
1652274614255585792,-1.5849158763885498
1652274614288417024,-1.5847488641738892
1652274614325084928,-1.5844192504882812
1652274614356438016,-1.5840753316879272
1652274614394499072,-1.5838629007339478
1652274614437061120,-1.5835456848144531
1652274614456419072,-1.5831581354141235
1652274614491355904,-1.5827473402023315
1652274614523152128,-1.582515835762024
1652274614556260096,-1.5820493698120117
1652274614589442048,-1.5816853046417236
1652274614623074048,-1.5812021493911743
1652274614675757824,-1.580125093460083
1652274614688851968,-1.580125093460083
1652274614724850944,-1.5794676542282104
1652274614758306048,-1.5787745714187622
1652274614790824960,-1.578291654586792
1652274614829419008,-1.5777068138122559
1652274614857760000,-1.5771732330322266
1652274614894814976,-1.5769093036651611
1652274614954308096,-1.5762312412261963
1652274614966424832,-1.5762312412261963
1652274614990359040,-1.5757956504821777
1652274615026531072,-1.5753698348999023
1652274615060728064,-1.5750386714935303
1652274615090209024,-1.5744379758834839
1652274615125538048,-1.5738996267318726
1652274615190845952,-1.5728248357772827
1652274615205347072,-1.5722763538360596
1652274615223805952,-1.5722763538360596
1652274615257668864,-1.5720248222351074
1652274615291926016,-1.5714917182922363
1652274615325869056,-1.5712002515792847
1652274615357072128,-1.5708105564117432
1652274615422812928,-1.5700232982635498
1652274615437294080,-1.569826602935791
1652274615457526016,-1.569826602935791
1652274615491034112,-1.5695120096206665
1652274615522775040,-1.569377064704895
1652274615555290880,-1.5691406726837158
1652274615588305920,-1.5689481496810913
1652274615622365952,-1.5689188241958618
1652274615680006144,-1.568777322769165
1652274615693022976,-1.568777322769165
1652274615723691008,-1.5687243938446045
1652274615757191936,-1.5687134265899658
1652274615791176192,-1.5688329935073853
1652274615824420864,-1.5689373016357422
1652274615856764160,-1.5690596103668213
1652274615915694080,-1.5694301128387451
1652274615926835968,-1.5694301128387451
1652274615957030912,-1.5695408582687378
1652274615990295808,-1.5696762800216675
1652274616025233920,-1.5698800086975098
1652274616060172032,-1.5700716972351074
1652274616093026048,-1.5701769590377808
1652274616123505152,-1.5703908205032349
1652274616173851904,-1.570817232131958
1652274616191981056,-1.570817232131958
1652274616224109056,-1.5710195302963257
1652274616261748992,-1.571401834487915
1652274616292320000,-1.5721817016601562
1652274616324719872,-1.5721817016601562
1652274616357682944,-1.5726330280303955
1652274616414812160,-1.5737080574035645
1652274616427388928,-1.5738532543182373
1652274616456270848,-1.5741691589355469
1652274616489830912,-1.5745348930358887
1652274616524089088,-1.5748205184936523
1652274616556503040,-1.5751293897628784
1652274616589043968,-1.5751293897628784
1652274616625273088,-1.5756417512893677
1652274616672249088,-1.5758212804794312
1652274616687827968,-1.5758212804794312
1652274616723717888,-1.5758320093154907
1652274616755636992,-1.5758639574050903
1652274616788482048,-1.5758463144302368
1652274616823257088,-1.5758532285690308
1652274616855469056,-1.575871467590332
1652274616904175104,-1.5758670568466187
1652274616927486976,-1.5758804082870483
1652274616955452928,-1.575861930847168
1652274616990892800,-1.5758248567581177
1652274617023372032,-1.5758858919143677
1652274617055489024,-1.5760340690612793
1652274617094176000,-1.5760953426361084
1652274617132150016,-1.5763550996780396
1652274617192759040,-1.5769176483154297
1652274617204286208,-1.5769176483154297
1652274617223362048,-1.5772093534469604
1652274617256672000,-1.5774163007736206
1652274617290694912,-1.5777209997177124
1652274617324857856,-1.5779712200164795
1652274617356153856,-1.5781002044677734
1652274617404433920,-1.5782653093338013
1652274617431471104,-1.57852041721344
1652274617457266944,-1.578711986541748
1652274617490402048,-1.5789940357208252
1652274617527549952,-1.579247236251831
1652274617558518016,-1.5795750617980957
1652274617599226880,-1.5798662900924683
1652274617623436800,-1.5801396369934082
1652274617673297920,-1.5805954933166504
1652274617688782848,-1.5806838274002075
1652274617724869120,-1.5809803009033203
1652274617757105152,-1.5811244249343872
1652274617789593856,-1.5812000036239624
1652274617823991040,-1.5813822746276855
1652274617856443904,-1.5813382863998413
1652274617934663168,-1.581348180770874
1652274617976371968,-1.5813711881637573
1652274617992635136,-1.5814836025238037
1652274618004632832,-1.5814836025238037
1652274618023084032,-1.5814937353134155
1652274618056401920,-1.5814872980117798
1652274618090092800,-1.581606388092041
1652274618125009152,-1.5816081762313843
1652274618185477888,-1.5817649364471436
1652274618201540864,-1.5817649364471436
1652274618231497984,-1.5818166732788086
1652274618257419008,-1.5818958282470703
1652274618290077952,-1.5820547342300415
1652274618325818112,-1.5821632146835327
1652274618357328896,-1.5823382139205933
1652274618395689984,-1.5824531316757202
1652274618450860032,-1.5828136205673218
1652274618462462976,-1.5828136205673218
1652274618490413824,-1.5830796957015991
1652274618523782912,-1.5835024118423462
1652274618556816128,-1.5840301513671875
1652274618592247040,-1.5843980312347412
1652274618623847936,-1.584789752960205
1652274618689415936,-1.585558533668518
1652274618704812032,-1.5858862400054932
1652274618722512896,-1.5858862400054932
1652274618757330944,-1.5862445831298828
1652274618789822976,-1.5863994359970093
1652274618824392960,-1.586338758468628
1652274618857688064,-1.586487889289856
1652274618916692992,-1.5865799188613892
1652274618935104000,-1.5865799188613892
1652274618960410112,-1.5866425037384033
1652274618991162112,-1.5865418910980225
1652274619025135872,-1.5866947174072266
1652274619056360960,-1.5866620540618896
1652274619089984000,-1.5865780115127563
1652274619123428096,-1.5868033170700073
1652274619179860224,-1.5868229866027832
1652274619189879808,-1.5868229866027832
1652274619222845184,-1.5869505405426025
1652274619255790080,-1.5869711637496948
1652274619291641088,-1.5869107246398926
1652274619323333120,-1.5870417356491089
1652274619355779840,-1.586968183517456
1652274619397892096,-1.5869933366775513
1652274619431727872,-1.5867010354995728
1652274619454999040,-1.5867010354995728
1652274619488378112,-1.5867143869400024
1652274619527128064,-1.586321234703064
1652274619555401984,-1.586321234703064
1652274619588755968,-1.5862903594970703
1652274619624171008,-1.5860912799835205
1652274619675081984,-1.5856295824050903
1652274619688626944,-1.5855555534362793
1652274619722786816,-1.585545301437378
1652274619755980032,-1.5852185487747192
1652274619788729856,-1.5849436521530151
1652274619822455808,-1.5847162008285522
1652274619855435008,-1.5845743417739868
1652274619890912000,-1.5845743417739868
1652274619938494976,-1.5840811729431152
1652274619955767040,-1.5839636325836182
1652274619988785152,-1.583728313446045
1652274620022754048,-1.5836659669876099
1652274620055418880,-1.583473563194275
1652274620088392960,-1.5832595825195312
1652274620127873792,-1.5832375288009644
1652274620208139008,-1.5828742980957031
1652274620219527936,-1.5828614234924316
1652274620229463040,-1.5828614234924316
1652274620259418880,-1.5827256441116333
1652274620289803008,-1.582605242729187
1652274620322857984,-1.582608938217163
1652274620355185152,-1.5824981927871704
1652274620390332928,-1.5824869871139526
1652274620435794944,-1.58269464969635
1652274620455368960,-1.582895278930664
1652274620488528896,-1.5830833911895752
1652274620522799104,-1.5832042694091797
1652274620555313152,-1.5832109451293945
1652274620588162048,-1.583252191543579
1652274620622754048,-1.5831727981567383
1652274620670799872,-1.5830165147781372
1652274620688201984,-1.5829919576644897
1652274620722702080,-1.5827651023864746
1652274620759633152,-1.5825388431549072
1652274620789719040,-1.5825233459472656
1652274620824075008,-1.5823261737823486
1652274620855750912,-1.5820045471191406
1652274620889659904,-1.5819045305252075
