time_sec,pN_fused,pE_fused,vN_fused,vE_fused,pN_ins,pE_ins,vN_ins,vE_ins
1652274616.409943,0.9906332088255657,0.11096112551515133,3.277678438106441,0.29271844119849505,153.227505368723,9.401320950609481,53.9978394781846,4.067707246372827
1652274616.4129443,1.0005124075134393,0.11184241028566932,3.306066315711838,0.2945917413206451,153.3896002340663,9.413531308983341,54.02622735579,4.0695805464949775
1652274616.4159422,1.010466485498242,0.11272830252366876,3.334377220815402,0.29639392253134156,153.55161416637182,9.425734678059074,54.054538260893565,4.071382727705674
1652274616.4189434,1.0205156728877791,0.11362054127110324,3.3626522495213926,0.2982162637974017,153.7138790204168,9.437955990409852,54.08281328959956,4.073205068971735
1652274616.4219415,1.0306402646250128,0.11451730320753863,3.3909656592164943,0.29996958220682207,153.876076450836,9.450171195581156,54.11112669929466,4.074958387381155
1652274616.4249427,1.0408595377615921,0.11542014569599769,3.419413201102937,0.3017072019854863,154.03851139062803,9.462403111672957,54.1395742411811,4.0766960071598195
1652274616.4279406,1.0511535908065461,0.11632751237775435,3.447830365945419,0.3036042318138409,154.20086529799372,9.474627955192448,54.16799140602358,4.078593036988174
1652274616.4309418,1.0615433995142407,0.11724161000908184,3.4761976583541268,0.3055732607005399,154.36347077335685,9.486871126427118,54.19635869843229,4.080562065874873
1652274616.4339402,1.0720083522864752,0.1181605533466743,3.5044583810142824,0.3074087086421079,154.52600856481104,9.499108512999578,54.22461942109245,4.082397513816441
1652274616.4369411,1.0825680325805496,0.11908580154651066,3.532776311253604,0.309199801229223,154.68878391176057,9.511362834802757,54.252937351331774,4.084188606403556
1652274616.4399393,1.0932017623988095,0.12001553196925685,3.561068296820455,0.3110306596797208,154.85147749589956,9.523610042063236,54.281229336898626,4.086019464854054
1652274616.4429402,1.1039311549617568,0.12095163112874363,3.5892668902498657,0.3128092007220966,155.01442255511796,9.535875214826065,54.309427930328035,4.08779800589643
1652274616.4459383,1.1147340001242574,0.12189211863250864,3.6173958910699424,0.3145973933487878,155.17728525460117,9.548133179167564,54.337556931148114,4.089586198523121
1652274616.448939,1.1256315477321284,0.12283887947309488,3.6456215706680997,0.3164015033480238,155.34038548450326,9.56040804721436,54.36578261074627,4.0913903085223575
1652274616.4519374,1.1366043944711426,0.12379027029122117,3.6738255902393777,0.3182245866973655,155.50343116992423,9.572677881267355,54.39398663031755,4.093213391871699
1652274616.4549384,1.1476721401219387,0.12474820351719555,3.701996545463611,0.3201660409512636,155.66671458223047,9.584964888096673,54.42215758554178,4.095154846125597
1652274616.4579425,1.1588349510902831,0.12571284530898721,3.7302056609613397,0.3220926942091458,155.83023588782774,9.597269233860283,54.45036670103951,4.09708149938348
